"survey_id","region","site","observer","habitat","elevation_m","canopy_pct","temp_C","count"
1,1,1,"obs2","grassland",110.1,38.3,17.6,3
2,1,1,"obs4","grassland",110.1,38.3,14.9,3
3,1,1,"obs1","grassland",110.1,38.3,17,1
4,1,1,"obs3","grassland",110.1,38.3,12,1
5,1,1,"obs6","grassland",110.1,38.3,13.4,1
6,1,2,"obs3","forest",505.5,38.9,10,0
7,1,2,"obs5","forest",505.5,38.9,12.6,0
8,1,2,"obs1","forest",505.5,38.9,10.8,2
9,1,2,"obs2","forest",505.5,38.9,13.3,0
10,1,2,"obs6","forest",505.5,38.9,11.8,5
11,1,3,"obs6","wetland",507.2,87.2,14,2
12,1,3,"obs1","wetland",507.2,87.2,11.8,2
13,1,3,"obs4","wetland",507.2,87.2,11.1,0
14,1,3,"obs2","wetland",507.2,87.2,10.7,5
15,1,3,"obs3","wetland",507.2,87.2,11,4
16,1,4,"obs4","wetland",539.7,49.8,13.4,2
17,1,4,"obs3","wetland",539.7,49.8,13.7,5
18,1,4,"obs1","wetland",539.7,49.8,10.1,2
19,1,4,"obs6","wetland",539.7,49.8,9.8,2
20,1,4,"obs2","wetland",539.7,49.8,9.9,1
21,1,5,"obs1","forest",417.4,12.4,16.5,0
22,1,5,"obs3","forest",417.4,12.4,9.8,6
23,1,5,"obs2","forest",417.4,12.4,16.6,0
24,1,5,"obs6","forest",417.4,12.4,10,2
25,1,5,"obs4","forest",417.4,12.4,9.2,0
26,1,6,"obs2","grassland",7.1,80.4,12.5,2
27,1,6,"obs1","grassland",7.1,80.4,16.3,7
28,1,6,"obs3","grassland",7.1,80.4,14.4,4
29,1,6,"obs5","grassland",7.1,80.4,8.9,3
30,1,6,"obs4","grassland",7.1,80.4,17.6,6
31,1,7,"obs6","forest",24.9,90.1,16.1,0
32,1,7,"obs2","forest",24.9,90.1,16.3,3
33,1,7,"obs1","forest",24.9,90.1,14.4,2
34,1,7,"obs4","forest",24.9,90.1,16.2,0
35,1,7,"obs3","forest",24.9,90.1,11.5,3
36,1,8,"obs6","grassland",661.6,91.7,12.3,0
37,1,8,"obs1","grassland",661.6,91.7,11.5,0
38,1,8,"obs4","grassland",661.6,91.7,11.8,0
39,1,8,"obs2","grassland",661.6,91.7,11.1,0
40,1,8,"obs3","grassland",661.6,91.7,10.3,1
41,1,9,"obs6","forest",738,83,11.5,0
42,1,9,"obs4","forest",738,83,9,0
43,1,9,"obs1","forest",738,83,10.6,1
44,1,9,"obs5","forest",738,83,13.9,2
45,1,9,"obs3","forest",738,83,12.4,0
46,2,10,"obs1","forest",377,11.3,9.9,0
47,2,10,"obs5","forest",377,11.3,11.4,0
48,2,10,"obs3","forest",377,11.3,14.6,6
49,2,10,"obs6","forest",377,11.3,14.6,0
50,2,10,"obs4","forest",377,11.3,11.8,1
51,2,11,"obs5","grassland",394.1,72.6,10.2,2
52,2,11,"obs1","grassland",394.1,72.6,14.1,1
53,2,11,"obs6","grassland",394.1,72.6,13,0
54,2,11,"obs4","grassland",394.1,72.6,10.4,6
55,2,11,"obs3","grassland",394.1,72.6,7.8,3
56,2,12,"obs6","wetland",615.4,93.2,10.4,2
57,2,12,"obs1","wetland",615.4,93.2,10.5,0
58,2,12,"obs3","wetland",615.4,93.2,9.3,1
59,2,12,"obs5","wetland",615.4,93.2,10.3,1
60,2,12,"obs4","wetland",615.4,93.2,9.8,3
61,2,13,"obs6","forest",224.1,56.8,13.8,0
62,2,13,"obs5","forest",224.1,56.8,14.2,3
63,2,13,"obs3","forest",224.1,56.8,16.5,6
64,2,13,"obs4","forest",224.1,56.8,12.8,3
65,2,13,"obs2","forest",224.1,56.8,14.5,0
66,2,14,"obs3","forest",379.3,72.6,12.5,2
67,2,14,"obs6","forest",379.3,72.6,10.7,0
68,2,14,"obs4","forest",379.3,72.6,13,2
69,2,14,"obs1","forest",379.3,72.6,12.4,0
70,2,14,"obs5","forest",379.3,72.6,12.8,3
71,2,15,"obs5","forest",167.1,93,15.1,4
72,2,15,"obs4","forest",167.1,93,16.5,4
73,2,15,"obs6","forest",167.1,93,17.3,6
74,2,15,"obs3","forest",167.1,93,14.1,4
75,2,15,"obs2","forest",167.1,93,12.7,1
76,2,16,"obs2","forest",665.1,14.8,8.5,2
77,2,16,"obs1","forest",665.1,14.8,12.4,1
78,2,16,"obs5","forest",665.1,14.8,7,0
79,2,16,"obs3","forest",665.1,14.8,11.4,3
80,2,16,"obs4","forest",665.1,14.8,12.6,1
81,3,17,"obs6","forest",378,74.1,13.5,7
82,3,17,"obs5","forest",378,74.1,13.7,1
83,3,17,"obs3","forest",378,74.1,9.2,5
84,3,17,"obs2","forest",378,74.1,15.2,3
85,3,17,"obs1","forest",378,74.1,13.8,3
86,3,18,"obs5","grassland",640.4,78.4,11.8,0
87,3,18,"obs6","grassland",640.4,78.4,10.7,0
88,3,18,"obs2","grassland",640.4,78.4,9.1,0
89,3,18,"obs3","grassland",640.4,78.4,11.3,1
90,3,18,"obs1","grassland",640.4,78.4,12.4,0
91,3,19,"obs1","grassland",210.9,27.4,15.3,1
92,3,19,"obs6","grassland",210.9,27.4,15.8,6
93,3,19,"obs4","grassland",210.9,27.4,17.3,5
94,3,19,"obs2","grassland",210.9,27.4,12,1
95,3,19,"obs3","grassland",210.9,27.4,14.9,2
96,3,20,"obs6","forest",16.7,20.6,17.9,10
97,3,20,"obs2","forest",16.7,20.6,15.3,2
98,3,20,"obs1","forest",16.7,20.6,12.9,0
99,3,20,"obs4","forest",16.7,20.6,15.9,0
100,3,20,"obs3","forest",16.7,20.6,16.2,3
101,3,21,"obs2","grassland",418.5,58,12.3,0
102,3,21,"obs3","grassland",418.5,58,14.7,1
103,3,21,"obs5","grassland",418.5,58,12.8,0
104,3,21,"obs1","grassland",418.5,58,11.6,2
105,3,21,"obs6","grassland",418.5,58,9.2,2
106,3,22,"obs4","forest",341.5,91.5,12.1,3
107,3,22,"obs6","forest",341.5,91.5,15.6,2
108,3,22,"obs3","forest",341.5,91.5,10.2,1
109,3,22,"obs2","forest",341.5,91.5,14.4,3
110,3,22,"obs1","forest",341.5,91.5,17.3,0
111,3,23,"obs4","forest",461.5,72.2,17.6,0
112,3,23,"obs6","forest",461.5,72.2,11.3,2
113,3,23,"obs5","forest",461.5,72.2,11.1,0
114,3,23,"obs1","forest",461.5,72.2,6,0
115,3,23,"obs2","forest",461.5,72.2,14.6,1
116,3,24,"obs4","grassland",726.4,56,11.5,0
117,3,24,"obs2","grassland",726.4,56,10,3
118,3,24,"obs1","grassland",726.4,56,10.8,0
119,3,24,"obs5","grassland",726.4,56,11.5,1
120,3,24,"obs6","grassland",726.4,56,11.3,0
121,3,25,"obs2","grassland",405.3,35.3,11.1,4
122,3,25,"obs4","grassland",405.3,35.3,12.3,1
123,3,25,"obs3","grassland",405.3,35.3,12,0
124,3,25,"obs1","grassland",405.3,35.3,13.8,0
125,3,25,"obs6","grassland",405.3,35.3,12.1,0
126,4,26,"obs4","wetland",201.5,86.7,11.8,2
127,4,26,"obs6","wetland",201.5,86.7,11.5,2
128,4,26,"obs3","wetland",201.5,86.7,11.8,2
129,4,26,"obs1","wetland",201.5,86.7,12.8,0
130,4,26,"obs2","wetland",201.5,86.7,9,1
131,4,27,"obs3","forest",716.9,51.2,12.6,0
132,4,27,"obs1","forest",716.9,51.2,8.1,0
133,4,27,"obs6","forest",716.9,51.2,8.4,0
134,4,27,"obs5","forest",716.9,51.2,9.1,0
135,4,27,"obs2","forest",716.9,51.2,11,0
136,4,28,"obs2","grassland",35.7,62.1,16.1,0
137,4,28,"obs3","grassland",35.7,62.1,15.2,3
138,4,28,"obs1","grassland",35.7,62.1,15.7,1
139,4,28,"obs5","grassland",35.7,62.1,16.8,4
140,4,28,"obs6","grassland",35.7,62.1,13.8,1
141,4,29,"obs5","forest",666.1,80.7,11.6,1
142,4,29,"obs2","forest",666.1,80.7,12.1,0
143,4,29,"obs1","forest",666.1,80.7,12.8,0
144,4,29,"obs4","forest",666.1,80.7,13.8,0
145,4,29,"obs6","forest",666.1,80.7,10.7,1
146,5,30,"obs5","wetland",598.8,81.9,15.4,1
147,5,30,"obs4","wetland",598.8,81.9,10.8,0
148,5,30,"obs1","wetland",598.8,81.9,12.1,1
149,5,30,"obs3","wetland",598.8,81.9,15.3,1
150,5,30,"obs2","wetland",598.8,81.9,11.4,4
151,5,31,"obs1","grassland",205.7,42.5,11.7,1
152,5,31,"obs5","grassland",205.7,42.5,16.1,2
153,5,31,"obs3","grassland",205.7,42.5,15.5,4
154,5,31,"obs2","grassland",205.7,42.5,13.1,2
155,5,31,"obs6","grassland",205.7,42.5,10.4,1
156,5,32,"obs1","forest",648.8,91.4,12.4,0
157,5,32,"obs3","forest",648.8,91.4,13.3,1
158,5,32,"obs4","forest",648.8,91.4,10,0
159,5,32,"obs5","forest",648.8,91.4,10.8,0
160,5,32,"obs6","forest",648.8,91.4,11.7,0
161,5,33,"obs1","forest",228.2,73.8,10.6,2
162,5,33,"obs4","forest",228.2,73.8,12.6,1
163,5,33,"obs6","forest",228.2,73.8,12.1,4
164,5,33,"obs5","forest",228.2,73.8,15.6,3
165,5,33,"obs3","forest",228.2,73.8,10.8,1
166,5,34,"obs2","forest",294.6,10.3,13.6,0
167,5,34,"obs4","forest",294.6,10.3,12.7,0
168,5,34,"obs6","forest",294.6,10.3,13.2,2
169,5,34,"obs5","forest",294.6,10.3,13.9,1
170,5,34,"obs3","forest",294.6,10.3,14,0
171,5,35,"obs1","wetland",480.9,18.1,17.6,3
172,5,35,"obs2","wetland",480.9,18.1,13,2
173,5,35,"obs6","wetland",480.9,18.1,11.6,4
174,5,35,"obs3","wetland",480.9,18.1,11.7,4
175,5,35,"obs5","wetland",480.9,18.1,12.8,5
176,5,36,"obs1","grassland",586.6,46.8,12.9,1
177,5,36,"obs6","grassland",586.6,46.8,14.1,0
178,5,36,"obs2","grassland",586.6,46.8,11.2,1
179,5,36,"obs3","grassland",586.6,46.8,12.8,1
180,5,36,"obs4","grassland",586.6,46.8,12.1,1
181,6,37,"obs2","forest",370.1,19,12.8,3
182,6,37,"obs6","forest",370.1,19,15.1,3
183,6,37,"obs3","forest",370.1,19,11.6,2
184,6,37,"obs1","forest",370.1,19,14.3,5
185,6,37,"obs4","forest",370.1,19,13.6,4
186,6,38,"obs6","forest",321.4,52.3,11.8,2
187,6,38,"obs4","forest",321.4,52.3,12.4,1
188,6,38,"obs2","forest",321.4,52.3,13.9,1
189,6,38,"obs1","forest",321.4,52.3,12.6,1
190,6,38,"obs3","forest",321.4,52.3,14,1
191,6,39,"obs3","grassland",301.7,44.7,17.9,4
192,6,39,"obs4","grassland",301.7,44.7,12.4,0
193,6,39,"obs6","grassland",301.7,44.7,14.1,1
194,6,39,"obs5","grassland",301.7,44.7,15.1,2
195,6,39,"obs2","grassland",301.7,44.7,12.8,1
196,6,40,"obs5","wetland",450.5,21.6,10.8,5
197,6,40,"obs2","wetland",450.5,21.6,12.3,12
198,6,40,"obs1","wetland",450.5,21.6,9.5,3
199,6,40,"obs4","wetland",450.5,21.6,11.1,2
200,6,40,"obs3","wetland",450.5,21.6,12.4,3
201,6,41,"obs4","grassland",597.2,40.5,7.8,0
202,6,41,"obs1","grassland",597.2,40.5,10.7,0
203,6,41,"obs5","grassland",597.2,40.5,11.2,0
204,6,41,"obs2","grassland",597.2,40.5,12.7,2
205,6,41,"obs6","grassland",597.2,40.5,11.7,2
206,6,42,"obs3","wetland",51.8,18.8,17.3,6
207,6,42,"obs6","wetland",51.8,18.8,13.6,8
208,6,42,"obs1","wetland",51.8,18.8,16.2,3
209,6,42,"obs5","wetland",51.8,18.8,13.1,7
210,6,42,"obs2","wetland",51.8,18.8,9.2,6
211,7,43,"obs4","forest",191.3,59.8,17.8,2
212,7,43,"obs5","forest",191.3,59.8,12.1,1
213,7,43,"obs2","forest",191.3,59.8,13,1
214,7,43,"obs1","forest",191.3,59.8,15.1,2
215,7,43,"obs3","forest",191.3,59.8,13.3,1
216,7,44,"obs1","grassland",225.6,74.7,12.5,0
217,7,44,"obs6","grassland",225.6,74.7,10.8,0
218,7,44,"obs2","grassland",225.6,74.7,10,1
219,7,44,"obs4","grassland",225.6,74.7,15.8,3
220,7,44,"obs3","grassland",225.6,74.7,13.4,1
221,7,45,"obs4","grassland",7.1,73.4,11.5,1
222,7,45,"obs3","grassland",7.1,73.4,11.4,0
223,7,45,"obs1","grassland",7.1,73.4,14.2,3
224,7,45,"obs2","grassland",7.1,73.4,17.8,2
225,7,45,"obs5","grassland",7.1,73.4,13.4,1
226,7,46,"obs4","wetland",488.6,46.9,13.6,3
227,7,46,"obs1","wetland",488.6,46.9,13.4,5
228,7,46,"obs6","wetland",488.6,46.9,12,2
229,7,46,"obs5","wetland",488.6,46.9,7.9,0
230,7,46,"obs2","wetland",488.6,46.9,11.6,1
231,7,47,"obs3","grassland",641,87.8,7.3,0
232,7,47,"obs5","grassland",641,87.8,12.3,1
233,7,47,"obs6","grassland",641,87.8,11.6,0
234,7,47,"obs1","grassland",641,87.8,16,1
235,7,47,"obs2","grassland",641,87.8,12.8,0
236,7,48,"obs4","forest",782,14.2,8.6,1
237,7,48,"obs6","forest",782,14.2,11.8,0
238,7,48,"obs3","forest",782,14.2,9.1,1
239,7,48,"obs5","forest",782,14.2,9.2,2
240,7,48,"obs2","forest",782,14.2,9.2,0
241,7,49,"obs1","forest",115.3,92.5,11.8,1
242,7,49,"obs5","forest",115.3,92.5,12.7,2
243,7,49,"obs6","forest",115.3,92.5,13.8,3
244,7,49,"obs3","forest",115.3,92.5,16.8,4
245,7,49,"obs4","forest",115.3,92.5,14.1,1
246,8,50,"obs2","grassland",727.2,19,7.9,0
247,8,50,"obs4","grassland",727.2,19,12.7,0
248,8,50,"obs3","grassland",727.2,19,10.7,0
249,8,50,"obs6","grassland",727.2,19,8.8,0
250,8,50,"obs5","grassland",727.2,19,8.5,0
251,8,51,"obs3","grassland",189.5,45.7,14.1,0
252,8,51,"obs6","grassland",189.5,45.7,18,2
253,8,51,"obs2","grassland",189.5,45.7,15.2,3
254,8,51,"obs4","grassland",189.5,45.7,14.6,0
255,8,51,"obs5","grassland",189.5,45.7,15.3,3
256,8,52,"obs3","wetland",398.4,23,10.9,3
257,8,52,"obs1","wetland",398.4,23,10.5,3
258,8,52,"obs2","wetland",398.4,23,13,4
259,8,52,"obs6","wetland",398.4,23,13.2,5
260,8,52,"obs4","wetland",398.4,23,12.8,5
261,8,53,"obs3","forest",57.5,22.8,9.3,0
262,8,53,"obs1","forest",57.5,22.8,16.4,6
263,8,53,"obs5","forest",57.5,22.8,17,4
264,8,53,"obs4","forest",57.5,22.8,17.5,1
265,8,53,"obs6","forest",57.5,22.8,12.1,0
266,8,54,"obs4","forest",446.1,30.9,11.7,3
267,8,54,"obs2","forest",446.1,30.9,10.8,1
268,8,54,"obs3","forest",446.1,30.9,12.6,0
269,8,54,"obs5","forest",446.1,30.9,11,1
270,8,54,"obs1","forest",446.1,30.9,11.4,4
